sentence_a,sentence_b,label
The dessert was sweet and creamy.,He made a fresh fruit salad.,0
The coach praised the best performer.,A strong wind blew across the field.,1
The computer crashed during the meeting.,The robot performed tasks automatically.,0
He developed a mobile application.,He missed the penalty kick narrowly.,1
He submitted his project on time.,The library was full of readers.,0
Fans cheered loudly during the match.,She wrote an essay on climate change.,1
She packed her bags for the vacation.,They visited the Eiffel Tower in Paris.,0
The temperature dropped suddenly.,The player trained hard every day.,1
He clicked pictures at the beach.,He walked through the narrow streets of Venice.,0
He scored the highest marks in science.,The sky was clear and blue.,1
He booked a flight to New York.,The bus stopped near the city square.,0
She baked a chocolate cake.,The bus stopped near the city square.,1
He scored the highest marks in science.,The principal addressed the assembly.,0
It snowed for three days continuously.,The pasta was cooked perfectly.,1
It rained heavily throughout the night.,The sun shone brightly this morning.,0
The robot performed tasks automatically.,The weather forecast predicted a storm.,1
The pasta was cooked perfectly.,The dessert was sweet and creamy.,0
He submitted his project on time.,They installed the latest software update.,1
They enjoyed dinner at the restaurant.,He made a fresh fruit salad.,0
Thunder and lightning scared the children.,He bought a new smartphone yesterday.,1
He missed the penalty kick narrowly.,Fans cheered loudly during the match.,0
They enjoyed dinner at the restaurant.,Fans cheered loudly during the match.,1
They installed the latest software update.,He developed a mobile application.,0
The temperature dropped suddenly.,He scored the highest marks in science.,1
The train arrived at the station on time.,He booked a flight to New York.,0
She played tennis with great skill.,Thunder and lightning scared the children.,1
The dessert was sweet and creamy.,He ordered a burger with fries.,0
They installed the latest software update.,He missed the penalty kick narrowly.,1
He missed the penalty kick narrowly.,The coach praised the best performer.,0
Fans cheered loudly during the match.,She wrote an essay on climate change.,1
She baked a chocolate cake.,They shared a plate of noodles.,0
The students attended the lecture.,They won the championship trophy.,1
They participated in the school exhibition.,The library was full of readers.,0
They shared a plate of noodles.,The computer crashed during the meeting.,1
She wrote an essay on climate change.,The library was full of readers.,0
She attended a workshop on AI.,He clicked pictures at the beach.,1
The library was full of readers.,She solved all the math problems correctly.,0
It rained heavily throughout the night.,The teacher explained the lesson clearly.,1
He missed the penalty kick narrowly.,The team celebrated after scoring.,0
She learned how to code in Python.,He made a fresh fruit salad.,1
He submitted his project on time.,They participated in the school exhibition.,0
Thunder and lightning scared the children.,She played tennis with great skill.,1
The sun shone brightly this morning.,Dark clouds gathered above the city.,0
He made a fresh fruit salad.,He kicked the football into the goal.,1
They installed the latest software update.,He fixed the bug in the program.,0
Dark clouds gathered above the city.,He submitted his project on time.,1
The soup was warm and delicious.,She baked a chocolate cake.,0
He developed a mobile application.,The team celebrated after scoring.,1
Thunder and lightning scared the children.,The sky was clear and blue.,0
He fixed the bug in the program.,She wrote an essay on climate change.,1
They participated in the school exhibition.,He submitted his project on time.,0
The pasta was cooked perfectly.,The train arrived at the station on time.,1
He submitted his project on time.,The library was full of readers.,0
The weather forecast predicted a storm.,They visited the Eiffel Tower in Paris.,1
A strong wind blew across the field.,Dark clouds gathered above the city.,0
She added extra cheese to the pizza.,A rainbow appeared after the rain.,1
The principal addressed the assembly.,She wrote an essay on climate change.,0
The teacher explained the lesson clearly.,The pasta was cooked perfectly.,1
She solved all the math problems correctly.,He submitted his project on time.,0
The principal addressed the assembly.,The soup was warm and delicious.,1
She packed her bags for the vacation.,He booked a flight to New York.,0
The sun shone brightly this morning.,He made a fresh fruit salad.,1
Dark clouds gathered above the city.,It snowed for three days continuously.,0
The robot performed tasks automatically.,Thunder and lightning scared the children.,1
The temperature dropped suddenly.,Dark clouds gathered above the city.,0
He developed a mobile application.,The library was full of readers.,1
They participated in the school exhibition.,She studied all night for her exams.,0
He booked a flight to New York.,The weather forecast predicted a storm.,1
Fans cheered loudly during the match.,The coach praised the best performer.,0
He missed the penalty kick narrowly.,He fixed the bug in the program.,1
She added extra cheese to the pizza.,He ordered a burger with fries.,0
The website was built using React.,It rained heavily throughout the night.,1
She studied all night for her exams.,The library was full of readers.,0
The teacher explained the lesson clearly.,The player trained hard every day.,1
It rained heavily throughout the night.,The sky was clear and blue.,0
The bus stopped near the city square.,The weather forecast predicted a storm.,1
The sun shone brightly this morning.,It snowed for three days continuously.,0
The temperature dropped suddenly.,She played tennis with great skill.,1
The referee blew the final whistle.,They practiced shooting before the game.,0
They enjoyed dinner at the restaurant.,The bus stopped near the city square.,1
The train arrived at the station on time.,They explored the ancient ruins.,0
The referee blew the final whistle.,He clicked pictures at the beach.,1
She packed her bags for the vacation.,They visited the Eiffel Tower in Paris.,0
She traveled to Japan last summer.,He kicked the football into the goal.,1
They explored the ancient ruins.,He clicked pictures at the beach.,0
They won the championship trophy.,They shared a plate of noodles.,1
He fixed the bug in the program.,The website was built using React.,0
The soup was warm and delicious.,A strong wind blew across the field.,1
The sun shone brightly this morning.,The weather forecast predicted a storm.,0
She studied all night for her exams.,The referee blew the final whistle.,1
He developed a mobile application.,He bought a new smartphone yesterday.,0
The robot performed tasks automatically.,They practiced shooting before the game.,1
The weather forecast predicted a storm.,The temperature dropped suddenly.,0
They explored the ancient ruins.,Thunder and lightning scared the children.,1
She traveled to Japan last summer.,He walked through the narrow streets of Venice.,0
She attended a workshop on AI.,They won the championship trophy.,1
She wrote an essay on climate change.,The principal addressed the assembly.,0
They installed the latest software update.,He ordered a burger with fries.,1
They enjoyed the mountain view from the hotel.,The bus stopped near the city square.,0
It snowed for three days continuously.,He submitted his project on time.,1
He ordered a burger with fries.,She added extra cheese to the pizza.,0
She packed her bags for the vacation.,The principal addressed the assembly.,1
The computer crashed during the meeting.,He developed a mobile application.,0
The soup was warm and delicious.,The train arrived at the station on time.,1
The sky was clear and blue.,It rained heavily throughout the night.,0
He kicked the football into the goal.,She attended a workshop on AI.,1
He walked through the narrow streets of Venice.,He clicked pictures at the beach.,0
He tried sushi for the first time.,She traveled to Japan last summer.,1
The dessert was sweet and creamy.,She added extra cheese to the pizza.,0
She solved all the math problems correctly.,They explored the ancient ruins.,1
The temperature dropped suddenly.,It rained heavily throughout the night.,0
The principal addressed the assembly.,The pasta was cooked perfectly.,1
They explored the ancient ruins.,She packed her bags for the vacation.,0
He fixed the bug in the program.,The students attended the lecture.,1
They installed the latest software update.,The robot performed tasks automatically.,0
