sentence_a,sentence_b,label
The teacher explained the lesson clearly.,The library was full of readers.,0
They visited the Eiffel Tower in Paris.,It rained heavily throughout the night.,1
The player trained hard every day.,They practiced shooting before the game.,0
The pasta was cooked perfectly.,He submitted his project on time.,1
She studied all night for her exams.,The teacher explained the lesson clearly.,0
The team celebrated after scoring.,He made a fresh fruit salad.,1
The sun shone brightly this morning.,Dark clouds gathered above the city.,0
She baked a chocolate cake.,She packed her bags for the vacation.,1
The students attended the lecture.,The teacher explained the lesson clearly.,0
The sun shone brightly this morning.,They enjoyed the mountain view from the hotel.,1
Fans cheered loudly during the match.,He kicked the football into the goal.,0
They enjoyed the mountain view from the hotel.,The soup was warm and delicious.,1
The library was full of readers.,The teacher explained the lesson clearly.,0
Fans cheered loudly during the match.,He made a fresh fruit salad.,1
A strong wind blew across the field.,Dark clouds gathered above the city.,0
He kicked the football into the goal.,He ordered a burger with fries.,1
They practiced shooting before the game.,The coach praised the best performer.,0
He ordered a burger with fries.,The team celebrated after scoring.,1
They practiced shooting before the game.,He kicked the football into the goal.,0
He clicked pictures at the beach.,The temperature dropped suddenly.,1
He submitted his project on time.,The students attended the lecture.,0
He booked a flight to New York.,He made a fresh fruit salad.,1
He booked a flight to New York.,They enjoyed the mountain view from the hotel.,0
The soup was warm and delicious.,They visited the Eiffel Tower in Paris.,1
Dark clouds gathered above the city.,The sky was clear and blue.,0
The soup was warm and delicious.,He kicked the football into the goal.,1
They practiced shooting before the game.,The player trained hard every day.,0
He submitted his project on time.,He clicked pictures at the beach.,1
He made a fresh fruit salad.,She baked a chocolate cake.,0
The teacher explained the lesson clearly.,It rained heavily throughout the night.,1
The library was full of readers.,She studied all night for her exams.,0
Dark clouds gathered above the city.,He kicked the football into the goal.,1
The coach praised the best performer.,They practiced shooting before the game.,0
The team celebrated after scoring.,He submitted his project on time.,1
They visited the Eiffel Tower in Paris.,The train arrived at the station on time.,0
The pasta was cooked perfectly.,She solved all the math problems correctly.,1
The team celebrated after scoring.,The coach praised the best performer.,0
The player trained hard every day.,The train arrived at the station on time.,1
The sky was clear and blue.,Dark clouds gathered above the city.,0
The library was full of readers.,The sun shone brightly this morning.,1
Fans cheered loudly during the match.,The coach praised the best performer.,0
They visited the Eiffel Tower in Paris.,The player trained hard every day.,1
The library was full of readers.,The teacher explained the lesson clearly.,0
The soup was warm and delicious.,The temperature dropped suddenly.,1
The library was full of readers.,He submitted his project on time.,0
She baked a chocolate cake.,Fans cheered loudly during the match.,1
The pasta was cooked perfectly.,She baked a chocolate cake.,0
Dark clouds gathered above the city.,They practiced shooting before the game.,1
She studied all night for her exams.,The students attended the lecture.,0
Fans cheered loudly during the match.,Dark clouds gathered above the city.,1
